model,accuracy,f1_macro,f1_weighted
TFIDF+LogReg,0.6148148148148148,0.4369263383921098,0.6348504001326363
TFIDF+Cosine,0.5925925925925926,0.42763813603776885,0.604174022480836
MiniLM+LogReg,0.4962962962962963,0.3587706436178422,0.5255669694492557
